definiendum,,tenses,sanskrit,english1,english2,english-others,definition-tibetan,definition-english,divisions-tibetan,divisions-english,synonyms-tibetan,synonyms-english,comments,example-tibetan1,example-tibetan2,example-tibetan3,example-tibetan4,example-tibetan5,example-tibetan6,example-english1,example-english2,example-english3,example-english4,example-english5,example-english6
kas gdugs  ,ཀས་གདུགས་་,,{C}chattra,,,{C}parachute,,,,,,,,,,,,,,,,,,,
kun ,ཀུན་,,"{C,MSA}sarva; {MSA}akhila; {MSA}kṛtsna; {MSA}samagra; {TN}mātra",all; complete; entire; whole; total; entirety; thorough,,,,,,,,,,sems can kun ,,,,,,all sentient beings,,,,,
kun dkris; dkun nas dkris pa na,ཀུན་དཀྲིས༏་དཀུན་ནས་དཀྲིས་པ་ན,dkri  dkra ia dkris  dkris ,{LCh}paryavasthāna,thorough entanglement; entanglement,,,,,,,,,,,,,,,,,,,,,
kun mkhyen ,ཀུན་མཁྱེན་,mkhyen  mkhyen  mkhyend  mkhyend ,"{LCh,C}sarvajñā; {C}sarvajñatā; {C}sarvajñatva; sarvākārajñāna",omniscient; all-knowing; omniscient one; all-knowing one; omniscience; omniscient consciousness,,{C}(state of) all-knowledge,,,,,,,,kun mkhyen 'phags pa 'od ,,,,,,the omniscient Pak-b#a-ö,,,,,
kun mkhyen nyid ,ཀུན་མཁྱེན་ཉིད་,mkhyen  mkhyen  mkhyend  mkhyend ,sarva-jñatva,omniscience; all-knowingness,,{C}(state of) all-knowledge,,,,,,,,,,,,,,,,,,,
kun mkhyen bu ram shing pa ,ཀུན་མཁྱེན་བུ་རམ་ཤིང་པ་,mkhyen  mkhyen  mkhyend  mkhyend ,ikṣvāku,The Omniscient Sugar-Cane One,,,,,,,,,"Comment: This is an epithet of Shākyamuni Buddha. The lineage of Shākyamuni Buddha is traced back to a child born from an egg, which formed from semen that dripped onto a sugarcane leaf from a man wrongly accused as a killer. The child, lineage, and Shākyamuni are known as Sugar-Cane One"" (MED, 355).""",,,,,,,,,,,,
kun gyi don 'grub byed ,ཀུན་གྱི་དོན་འགྲུབ་བྱེད་,'grub  'grub  'grubs/grub  grubs ,(MSA)sarvārtha-siddhi,accomplishing/achieving/establishing the welfare of all,,,,,,,,,,,,,,,,,,,,,
kun dga' snying po ,ཀུན་དགའ་སྙིང་པོ་,,Ānandagarbha,Ānandagarbha,,,,,,,,,"Comment: Three Indian scholars are renowned especially for their works on Yoga Tantra, whom New Translation Schools consider the ""Three People Expert/Proficient in Yoga [Tantra]"" (yoga la mi mkhas pa gsum): Buddhaguhya (sangs rgyas gsang ba; fl. mid eighth century), Shākyamitra (shā kya bshes gnyen), and Ānandagarbha (kun dga' snying po; fl. late ninth or early tenth century). D#zong-ka-b#a relies on Ānandagarbha for Yoga Tantra but criticizes his interpretation of the Guhyasamāja Tantra.",,,,,,,,,,,,
kun dga' ra ba ,ཀུན་དགའ་ར་བ་,,ārāma,pleasure grove,,,,,,,,,,,,,,,,,,,,,
kun dga' ra ba phun sum tshogs pa ,ཀུན་དགའ་ར་བ་ཕུན་སུམ་ཚོགས་པ་,,{C}ārāma-sampad,excellent garden; marvelous garden; perfect garden,,{C}gardens,,,,,,,,,,,,,,,,,,,
kun dga'i sgra ,ཀུན་དགའི་སྒྲ་,,{MSA}ānanda-śabda,sound of joy,,,,,,,,,,,,,,,,,,,,,
kun 'gro; kun tu 'gro ba ,ཀུན་འགྲོ༏་ཀུན་ཏུ་འགྲོ་བ་,,"{L,MSA}sarvatra-ga",omnipresent; all-pervading; omnipresent factor; omnipresent mental factor,,,,,,,,,Comment: There are five omnipresent mental factors (kun 'gro lnga) that accompany all consciousnesses. See kun 'gro lnga.,,,,,,,,,,,,
kun 'gro lnga ,ཀུན་འགྲོ་ལྔ་,,,the 5 omnipresent [mental factors]; the 5 omnipresent [mental] factors,,,,,kun 'gro'i dbye ba ni/ tshor ba/ 'du shes/ sems pa/ yid la byed/ reg pa/,"Div.: feeling (vedanā), discrimination (samjñā), intention / attention (cetanā), mental engagement (manasikāra), contact (sparśa).",,,"Comment: The five omnipresent mental factors are one of six main groupings of mental factors (sems byung, caitta): (1) five omnipresent (kun 'gro, sarvatraga) mental factors; (2) five determining (yul nges, viṣaya-pratiniyama) mental factors; (3) eleven virtuous (dege ba, kuśala) mental factors; (4) six root afflictions (rtsa nyon, mūla-kleśa); (5) twenty secondary afflictions (nye nyong, upakleśa); and (6) four changeable (gzhan 'gyur, anyathābhāva) mental factors.",kun 'gro lnga dang yul nges lnga / dge ba bcu gcig rtsa nyon drug nye nyon nyi shu gzhan 'gyur bzhi/ sems byung nga gcig 'di dag go,,,,,,"Five omnipresent factors, five determining factors, eleven virtuous factors, six root afflictive emotions, twenty secondary afflictive emotions, and four changeable factors are the fifty-one mental factors.",,,,,
kun 'gro bdag nyid ,ཀུན་འགྲོ་བདག་ཉིད་,,{MSA}sarva-gātmika,that which has an omnipresent nature,,,,,,,,,,,,,,,,,,,,,
kun 'gro'i rgyu ,ཀུན་འགྲོའི་རྒྱུ་,,sarvatraga-hetu,omnipresent cause,,,,,,,,,Comment: One of the six kinds of causes; for others see rgyu.,,,,,,,,,,,,
kun chub par bya ba ,ཀུན་ཆུབ་པར་བྱ་བ་,,{C}paryava-āpnoti,understand all; realize all,,{C}study; masters,,,,,,,,,,,,,,,,,,,
kun chub par byed ,ཀུན་ཆུབ་པར་བྱེད་,,{C}paryava-āpnoti,understand all; realize all,,{C}study; masters,,,,,,,,,,,,,,,,,,,
kun brjod pa'i cho 'phrul ,ཀུན་བརྗོད་པའི་ཆོ་འཕྲུལ་,brjod  rjod  brjod  rjod ,"{C,MSA}ādeśanā-prātihārya",,,{C}miraculous reading of thoughts,,,,,,,"Comment: More likely, this is the miraculous ability to speak in all languages.",,,,,,,,,,,,
kun nyon mongs; kun nas nyon mongs pa ,ཀུན་ཉོན་མོངས༏་ཀུན་ནས་ཉོན་མོངས་པ་,,{L}saṃkleśa,thoroughly afflicted; afflictive emotion; thorough affliction; affliction,,,,,,,,,,,,,,,,,,,,,
kun nyon mongs rnam par byang ,ཀུན་ཉོན་མོངས་རྣམ་པར་བྱང་,'byang  'byangs  byang  'byongs ,{MV}saṃkleśa-vyavadāna,purify thorough afflictions,,,,,,,,,,,,,,,,,,,,,
kun tu ,ཀུན་ཏུ་,,{MSA}sarvatra; samantatas; samanta,in all ways; everywhere; always; at all times; in every way; entirely; thoroughly; completely; wholly; totally,,{C}in every way,,,,,,,,,,,,,,,,,,,
kun tu skyed par byed ,ཀུན་ཏུ་སྐྱེད་པར་བྱེད་,bskyed  skyed  bskyed  skyed ,{MSA}(saṃ √vṛdh): saṃvardhayati,thoroughly produce; thoroughly generate; thoroughly engender,,,,,,,,,,,,,,,,,,,,,
kun tu skyo ba ,ཀུན་ཏུ་སྐྱོ་བ་,,{MV}saṃvega,thoroughly despondent; thoroughly sad; thoroughly depressed; pathetic; thoroughly disgusted,,,,,,,,,,,,,,,,,,,,,
kun tu skrag ,ཀུན་ཏུ་སྐྲག་,skrag  skrag  skrags  skrags ,{MSA}(saṃ √tras): saṃtrāsayati,thoroughly fear; be terrified; be frightened,,,,,,,,,,,,,,,,,,,,,
kun tu bskyed pa ,ཀུན་ཏུ་བསྐྱེད་པ་,bskyed  skyed  bskyed  skyed ,{L}samutpāda,production; arising; generation; engendering,,,,,,,,,,,,,,,,,,,,,
kun tu bskyod ,ཀུན་ཏུ་བསྐྱོད་,bskyod  skyod  bskyod  skyod ,{MSA}(saṃ √kamp): saṃkampayat,thoroughly move; completely cause to go,,,,,,,,,,,,,,,,,,,,,
kun tu khebs par mdzad nas ,ཀུན་ཏུ་ཁེབས་པར་མཛད་ནས་,'kheb  'khebs  kheb  khebs ,{C}saṃchādya,having completely covered,,{C}having covered,,,,,,,,,,,,,,,,,,,
kun tu 'khrugs pa ,ཀུན་ཏུ་འཁྲུགས་པ་,'khrug  'khrug  'khrugs  'khrugs ,{MSA}saṃkṣubdha,thoroughly disturbed,,,,,,,,,,,,,,,,,,,,,
kun tu rgyu ste ,ཀུན་ཏུ་རྒྱུ་སྟེ་,rgyu  rgyu  rgyu  rgyu ,{C}saṃdhāvati,move; wander; go,,{C}err about; run together,,,,,,,,,,,,,,,,,,,
kun tu rgyu ba ,ཀུན་ཏུ་རྒྱུ་བ་,rgyu  rgyu  rgyu  rgyu ,{C}parivrājaka,wanderer; moving; wandering,,{C}wanderer,,,,,,,,,,,,,,,,,,,
kun tu dngang bar 'gyur ba ,ཀུན་ཏུ་དངང་བར་འགྱུར་བ་,dngang  dngang  dngangs  dngangs ,{C}saṃtrāsam āpadyante,become thoroughly terrified/fearful/paniced; is terrified/fearful/paniced,,{C}is terrified,,,,,,,,,,,,,,,,,,,
kun tu bcom dkar po'i chos rnams ,ཀུན་ཏུ་བཅོམ་དཀར་པོའི་ཆོས་རྣམས་,gzhom  'joms  bcom  choms ,{MSA}samudghātita-śukla-dharma,all-conquering wholesome doctrines/practices,,,,,,,,,,,,,,,,,,,,,
kun tu chad pa dge ba'i rtsa ba ,ཀུན་ཏུ་ཆད་པ་དགེ་བའི་རྩ་བ་,'chad  'chad  chad  chad ,{MSA}samucchinna-kuśala-mūla,roots of virtue completely severed/annihilated,,,,,,,,,,,,,,,,,,,,,
kun tu 'joms pa ,ཀུན་ཏུ་འཇོམས་པ་,gzhom  'joms  bcom  choms ,{C}samudghāta,thoroughly conquered; thoroughly destroyed; thoroughly wrecked,,,,,,,,,,,,,,,,,,,,,
kun tu rtog pa ,ཀུན་ཏུ་རྟོག་པ་,,"{MSA, MV, C}parikalpita; {MSA}parikalpana",conceptuality; thorough conceptualization; imputed; imputational; imaginary; thoroughly [mentally] constructed; imagined,,,,,,,,,,,,,,,,,,,,,
kun tu rtog pa tsam ,ཀུན་ཏུ་རྟོག་པ་ཙམ་,,{MSA}parikalpa-mātra,imputation-only; conceptualization-only,,,,,,,,,,,,,,,,,,,,,
kun tu rtog pa las byung ,ཀུན་ཏུ་རྟོག་པ་ལས་བྱུང་,'byung  'byung  byung  byung ,,arisen from conceptuality; arisen from conceptualization; arisen from imputation,,,,,,,,,,,,,,,,,,,,,
kun tu rtogs pa ,ཀུན་ཏུ་རྟོགས་པ་,rtogs  rtogs  rtogs  rtogs ,{MSA}saṃkalpa,thorough realization; thoroughly realize,,,,,,,,,,,,,,,,,,,,,
kun tu rtogs par bya ba ,ཀུན་ཏུ་རྟོགས་པར་བྱ་བ་,rtogs  rtogs  rtogs  rtogs ,{C}āvedhyate,is to be thoroughly realized; that which is to be thoroughly realized,,,,,,,,,,,,,,,,,,,,,
kun tu ston pa ,ཀུན་ཏུ་སྟོན་པ་,bstan  ston  bstand  stond ,"{C}ādarśana; {C}avadarśika; {C}ākhyāna; {MSA}darśana; {MSA, MV}saṃdarśana",thoroughly teach; thoroughly show; thoroughly demonstrate; thoroughly reveal; thoroughly disclose,,{C}perceive; show up [in a mirror]; advise; tale; communication,,,,,,,,,,,,,,,,,,,
kun tu bstan pa ,ཀུན་ཏུ་བསྟན་པ་,bstan  ston  bstand  stond ,{C}ādarśayati,thoroughly teach; thoroughly show; thoroughly demonstrate; thoroughly reveal; thoroughly disclose,,{C}show up (in a mirror),,,,,,,,,,,,,,,,,,,
kun tu 'dren pa ,ཀུན་ཏུ་འདྲེན་པ་,drang  'dren  drangs  drongs/'drend ,{MSA}ākarṣaṇa,thoroughly lead,,,,,,,,,,,,,,,,,,,,,
kun tu 'dres pa ,ཀུན་ཏུ་འདྲེས་པ་,'dres/'dre  'dres/'dre  'dres  'dres ,ākīrṇa,thoroughly mixed/conflated/blended,,,,,,,,,,,,,,,,,,,,,
kun tu sdud pa ,ཀུན་ཏུ་སྡུད་པ་,bsdu  sdud  bsdus  sdus ,saṃgraha,combined; comprised; combination; summary; thorough inclusion; thorough withdrawal; assembling; attraction; comprising; collection; are summed up in,,{C}means of conversion,,,,,,,,,,,,,,,,,,,
kun tu snang ,ཀུན་ཏུ་སྣང་,snang  snang  snang  snang ,{C}saṃdṛśyate,appears; is beheld; appear bright; thoroughly illuminate,,{C}be equal to(?),,,,,,,,,,,,,,,,,,,
kun tu snang ba ,ཀུན་ཏུ་སྣང་བ་,snang  snang  snang  snang ,{C}samanta-avabhāso; {C}samanta-āloko,thorough illumination,,{C}All-round Illumination; Illumination All-round,,,,,,,,,,,,,,,,,,,
kun tu snang bar byas nas ,ཀུན་ཏུ་སྣང་བར་བྱས་ནས་,snang  snang  snang  snang ,{C}ābhāya-avabhāsya,having appeared everywhere; having illuminated everywhere,,{C}illuminate with their lustre,,,,,,,,,,,,,,,,,,,
kun tu spyod ,ཀུན་ཏུ་སྤྱོད་,spyad  spyod  spyad  spyod ,{C}paricārayati (kāmaguṇaiḥ),thoroughly enjoy; thoroughly make use of; thoroughly partake of,,{C}enjoys the (5) sense-pleasures,,,,,,,,,,,,,,,,,,,
kun tu spyod pa; kun spyod ,ཀུན་ཏུ་སྤྱོད་པ༏་ཀུན་སྤྱོད་,,"{C, MSA, MV}samudācāra; {MSA}samācaraṇa; {C}samudācarati",enjoyment; usage; behavior; life-style; partaking,,{C}ideas; habits; befall; nurse; credit with; commit to,,,,,,, ,,,,,,,,,,,,
kun tu spyod pa med pa ,ཀུན་ཏུ་སྤྱོད་པ་མེད་པ་,spyad  spyod  spyad  spyod ,{C}asamudācāra,,,{C}habitual absence,,,,,,,,,,,,,,,,,,,
kun tu 'byin ,ཀུན་ཏུ་འབྱིན་,dbyung  'byin  phyung  phyungs ,{C}samudācarati,issue forth,,{C}nurse; commit to; befall; use; credits with,,,,,,,,,,,,,,,,,,,
kun tu 'byung ba; kun 'byung ,ཀུན་ཏུ་འབྱུང་བ༏་ཀུན་འབྱུང་,'byung  'byung  byung  byung ,{L}samudaya; {MV}samudācāra,origination; origin; arising; source,,,,,,,,,,,,,,,,,,,,,
kun tu sbyar ,ཀུན་ཏུ་སྦྱར་,sbyar  sbyor  sbyard  sbyord,"{LCh,MV}saṃyojana; {C}saṃyunakti",thoroughly join together; unite; practice; apply; affix; entanglement; thorough enwrapment,,{C}deprivation; loss,,,,,,,,,,,,,,,,,,,
kun tu sbyor ba ,ཀུན་ཏུ་སྦྱོར་བ་,sbyar  sbyor  sbyard  sbyord ,"{LCh,MV}saṃyojana; {C}saṃyunakti",thoroughly join together; unite; practice; apply; affix; entanglement; thorough enwrapment,,{C}deprivation; loss,,,,,,,,,,,,,,,,,,,
kun tu sbyor bar byed ,ཀུན་ཏུ་སྦྱོར་བར་བྱེད་,sbyar  sbyor  sbyard  sbyord ,{C}saṃyojayati,thoroughly join together; unite; practice; apply; affix; entanglement; thorough enwrapment,,{C}unite,,,,,,,,,,,,,,,,,,,
kun tu mi sbyor bar byed pa ,ཀུན་ཏུ་མི་སྦྱོར་བར་བྱེད་པ་,sbyar  sbyor  sbyard  sbyord ,{C}visaṃyojayati,,,{C}disunite,,,,,,,,,,,,,,,,,,,
kun tu rmongs pa; kun rmongs; kun rmongs pa,ཀུན་ཏུ་རྨོངས་པ༏་ཀུན་རྨོངས༏་ཀུན་རྨོངས་པ,rmong  rmong  rmongs  rmongs ,"{MSA,PP}saṃmoha; saṃmūḍha",thorough obscuration; ignorance; delusion,,,,,,,,,,,,,,,,,,,,,
kun tu rmongs pa'i sa bon ,ཀུན་ཏུ་རྨོངས་པའི་ས་བོན་,rmong  rmong  rmongs  rmongs ,saṃmohabīja,seeds of obscuration,,,,,,,,,,,,,,,,,,,,,
kun tu btsal ,ཀུན་ཏུ་བཙལ་,btsal  'tshol  btsald  tshold ,{C}paryeṣamāṇa,thoroughly seek/ search/ examine/ analyze/ investigate,,{C}searching,,,,,,,,,,,,,,,,,,,
kun tu tshim pa skye ,ཀུན་ཏུ་ཚིམ་པ་སྐྱེ་,,{C}saṃharṣa-jāta,generate thorough satisfaction,,{C}thrilled,,,,,,,,,,,,,,,,,,,
kun tu 'dzin pa ,ཀུན་ཏུ་འཛིན་པ་,gzung  'dzin  bzung  zungs ,"{MSA,C}āgraha; {MSA}dhāraṇa",thorough grasping; thorough apprehension,,{C}acquisitiveness,,,,,,,,,,,,,,,,,,,
kun tu zhum ,ཀུན་ཏུ་ཞུམ་,'jum  'jums  zhum  zhums ,{C}avalīyate,become thoroughly slack/weak/timid/cowardly,,{C}become cowed; be cast down; hide despondently (in),,,,,,,,,,,,,,,,,,,
kun tu zhum pa ,ཀུན་ཏུ་ཞུམ་པ་,'jum  'jums  zhum  zhums ,{C}ālīna,become thoroughly slack/weak/timid/cowardly,,{C}cling(ing) to; hanging on to,,,,,,,,,,,,,,,,,,,
kun tu zhum par 'gyur ,ཀུན་ཏུ་ཞུམ་པར་འགྱུར་,'jum  'jums  zhum  zhums ,{C}saṃlīyate,become thoroughly slack/weak/timid/cowardly,,{C}become stolid; despond; is cowed,,,,,,,,,,,,,,,,,,,
kun tu bzang po; kun bzang ,ཀུན་ཏུ་བཟང་པོ༏་ཀུན་བཟང་,,samantabhadra,Samantabhadra [p.n. of a Bodhisattva]; thoroughly good; the thoroughly good [basic reality],,,,,,,,,,,,,,,,,,,,,
kun tu bzod ,ཀུན་ཏུ་བཟོད་,bzod  bzod  bzod  bzod ,{MSA}kṣāntiḥ sarvatra,"patience/forbearance/tolerance/endurance in all [situations]; thoroughly patient, etc.",,,,,,,,,,,,,,,,,,,,,
kun tu 'od ,ཀུན་ཏུ་འོད་,,samantaprabhā,Completely Radiant,,,,,,,,,,,,,,,,,,,,,
kun tu shes ,ཀུན་ཏུ་ཤེས་,,{C}saṃjñāta (=saṃkhyāta); jānāti; saṃjānāti,thoroughly know/understand/comprehend,,{C}reckoned as; be called; knows; cognizes; identifies; perceive; can cognize; holds to be true,,,,,,,,,,,,,,,,,,,
kun tu shes pa ,ཀུན་ཏུ་ཤེས་པ་,,{C}ajñā,thoroughly know/understand/comprehend,,{C}non-knowledge; to know; perceive,,,,,,,,,,,,,,,,,,,
kun tu shes par bya ba ,ཀུན་ཏུ་ཤེས་པར་བྱ་བ་,,{MSA}ājñeyā,that which is to be thoroughly known/understood/comprehended,,,,,,,,,,,,,,,,,,,,,
kun tu shes par byed ,ཀུན་ཏུ་ཤེས་པར་བྱེད་,,{C}saṃjānāti,thoroughly know/understand/comprehend,,{C}perceive; can cognize; holds to be true,,,,,,,,,,,,,,,,,,,
kun tu song; kun song; kun tu song ba,ཀུན་ཏུ་སོང༏་ཀུན་སོང༏་ཀུན་ཏུ་སོང་བ,song  song  song  song ,{MSA}sarvaga,[all-to-go]; all-pervasive; omnipresent; go everywhere,,,,,,,,,,,,,,,,,,,,,
kun tu gsog ,ཀུན་ཏུ་གསོག་,bsag gsog bsags/ gsogs ,,thoroughly accumulate/collect,,,,,,,,,,,,,,,,,,,,,
kun tu gsogs ,ཀུན་ཏུ་གསོགས་,bsag gsog bsags/ gsogs ,,thoroughly accumulate/collect,,,,,,,,,,,,,,,,,,,,,
kun tu bsag ,ཀུན་ཏུ་བསག་,bsag gsog bsags/ gsogs ,,thoroughly accumulate/collect,,,,,,,,,,,,,,,,,,,,,
kun tu bsags ,ཀུན་ཏུ་བསགས་,bsag gsog bsags/ gsogs ,,thoroughly accumulate/collect,,,,,,,,,,,,,,,,,,,,,
kun tu bsags pa ,ཀུན་ཏུ་བསགས་པ་,bsag gsog bsags  gsogs ,{C}acita,thoroughly accumulated/collected,,{C}piled up,,,,,,,,,,,,,,,,,,,
kun tu bsrung bar byed pa ,ཀུན་ཏུ་བསྲུང་བར་བྱེད་པ་,bsrung  srung  bsrungs  srungs ,{MSA}ārakṣa,"thoroughly protect/guard/keep/safeguard/maintain/preserve [e.g., vows and pledges]",,,,,,,,,,,,,,,,,,,,,
kun gtong ,ཀུན་གཏོང་,gtang  gtong  btang  thongs ,{C}saṃtyāga,give away all,,{C}complete renunciation,,,,,,,,,,,,,,,,,,,
kun gtong ba ,ཀུན་གཏོང་བ་,gtang  gtong  btang  thongs ,{MSA}sarvāsti-dāna,giving away all,,,,,,,,,,,,,,,,,,,,,
kun btags ,ཀུན་བཏགས་,gdags  'dogs  btags/brtags  thogs ,{MSA}parikalpita,thoroughly imputed; imaginary; imputed; imputational factor; imagined; artificial; acquired; thoroughly [mentally] constructed; artificial [intellectually acquired]; imputational [nature],,,,,,,,,"Comment: This is one of three natures: (1) imputational natures (kun btags, parikalpita), other-powered natures (gzhan dbang, paratantra), and thoroughly established natures (yongs grub, pariniṣpanna). As artificial (or acquired), it is opposed to innate (lhan skyes).",bden 'dzin kun btags ,,,,,,artificial/ acquired conception of true existence,,,,,
kun btags kyi ngo bo nyid ,ཀུན་བཏགས་ཀྱི་ངོ་བོ་ཉིད་,gdags  'dogs  btags/brtags  thogs ,parikalpitasvabhāva,imputational nature; imaginary nature,,,,,,,,,"Comment: This is one of three natures: (1) imputational natures (kun btags, parikalpita), other-powered natures (gzhan dbang, paratantra), and thoroughly established natures (yongs grub, pariniṣpanna).",,,,,,,,,,,,
kun btags kyi mtshan nyid ,ཀུན་བཏགས་ཀྱི་མཚན་ཉིད་,gdags  'dogs  btags/brtags  thogs ,parikalpitalakṣaṇa,imputational character; imaginary character,,,,,,,,,"Comment: This is one of three characters: (1) imputational characters (kun btags, parikalpita), other-powered characters (gzhan dbang, paratantra), and thoroughly established characters (yongs grub, pariniṣpanna).",,,,,,,,,,,,
kun btags kyi rang bzhin ,ཀུན་བཏགས་ཀྱི་རང་བཞིན་,gdags  'dogs  btags/brtags  thogs ,parikalpitasvabhāva,imputational nature; imaginary nature,,,,,,,,,"Comment: This is one of three natures: (1) imputational natures (kun btags, parikalpita), other-powered natures (gzhan dbang, paratantra), and thoroughly established natures (yongs grub, pariniṣpanna).",,,,,,,,,,,,
kun btags pa'i chos ,ཀུན་བཏགས་པའི་ཆོས་,gdags  'dogs  btags/brtags  thogs ,{ME} parikalpita-dharma,imputed phenomenon; imaginary phenomenon,,,,,,,,,,,,,,,,,,,,,
kun btags pa'i ma rig pa ,ཀུན་བཏགས་པའི་མ་རིག་པ་,gdags  'dogs  btags/brtags  thogs ,parikalpitāvidyā,artificial ignorance; acquired ignorance; imputed ignorance,,{N} artificial ignorance,,,,,,,"Comment: Ignorance arisen due to a faulty system of tenets, faulty scriptures, etc.",,,,,,,,,,,,
kun btags pa'i mtshan nyid ,ཀུན་བཏགས་པའི་མཚན་ཉིད་,gdags  'dogs  btags/brtags  thogs ,parikalpita-lakṣaṇa,imputational character; imaginary character,,,,,,,,,"Comment: This is one of three characters: (1) imputational characters (kun btags, parikalpita), other-powered characters (gzhan dbang, paratantra), and thoroughly established characters (yongs grub, pariniṣpanna).",,,,,,,,,,,,
kun btags pa'i rang bzhin ,ཀུན་བཏགས་པའི་རང་བཞིན་,gdags  'dogs  btags/brtags  thogs ,parikalpitasvabhāva,imputational nature; imaginary nature,,,,,,,,,"Comment: This is one of three natures: (1) imputational natures (kun btags, parikalpita), other-powered natures (gzhan dbang, paratantra), and thoroughly established natures (yongs grub, pariniṣpanna).",,,,,,,,,,,,
kun btus ,ཀུན་བཏུས་,btu  'thu  btus  'thu ,{LCh}samuccaya,group; collect; summary; compendium; [Asaṅga's] Summary [of Manifest Knowledge],,,,,,,,,,mngon pa kun btus ,chos kun btus ,,,,,Abhidharmasamuccaya [Asaṅga's Summary of Manifest Knowledge],Dharmasaṃgīti [Compendium of Doctrine Sūtra],,,,
kun rtogs pa ,ཀུན་རྟོགས་པ་,rtogs  rtogs  rtogs  rtogs ,{C}āvidhyate,thoroughly realize; realize all,,{C}is pierced(?),,,,,,,,,,,,,,,,,,,
kun brtags ,ཀུན་བརྟགས་,gdags  'dogs  btags/brtags  thogs ,"{MSA, MV, LCh}parikalpita; {LCh}parikalpana; {C}saṃkalpita; {MSA}kalpita; {MV}parikḷp; parikalpyate",imputational [nature]; imputation; artificial; acquired; imputational factor; thoroughly [mentally] constructed; imagined; imaginary; imputed; thoroughly imputed; imputational,,{C}represent what is not really there,mtshan nyid/  kun brtags gzhan dbang yongs grub gsum po gang rung gang zhig rnam dag gi dmigs pa mthar thug pa min zhing don byed mi nus pa/,"Def.: that which is (1) any of the three: imputational nature, other-powered nature, or thoroughly established nature and (2) not a final object of observation of purification and not able to perform a function",dbye ba/ 1 mtshan nyid yongs su chad pa'i kun brtags/ 2 rnam grangs pa'i kun brtags/,Div.: (1) imputational natures of which the character is thoroughly nil; (2) enumerated imputational natures,,,,,,,,,,,,,,,
kun brtags pa ,ཀུན་བརྟགས་པ་,gdags  'dogs  btags/brtags  thogs ,parikalpita,imputational [nature]; imputation; artificial; acquired; imputational factor; thoroughly [mentally] constructed; imagined; imaginary; imputed; thoroughly imputed; imputational,,,,,,,,,,,,,,,,,,,,,
